"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C4,C6,C7,C17","6","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C3,C5","2","10uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C8","1","0.1u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C9","1","1u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C15,C16","2","22pF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D1","1","SP720ABTG","","","","SOIC127P600X175-16N","http://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sp720_datasheet.pdf.pdf"
"D2","1","D","","","","","~"
"D3,D4,D5,D6,D7","5","PESD3V3U1UL","","","","Diode_SMD:D_SOD-882","https://assets.nexperia.com/documents/data-sheet/PESD3V3U1UL.pdf"
"IC1","1","MAX6675ISA+T","","","","SOIC127P600X175-8N","https://datasheets.maximintegrated.com/en/ds/MAX6675.pdf"
"IC2","1","APS11753KMDALX-9PL5","","","","SOT95P240X115-3N","https://www.allegromicro.com/~/media/files/datasheets/aps11753-datasheet"
"J1","1","Conn_01x04_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical","~"
"J2","1","AudioJack4","","","","","~"
"J3","1","CONN_14_FFC/FPC","","","","","~"
"J4","1","Battery Conn","","","","","~"
"JP2","1","SolderJumper_2_Open","","Excluded from BOM","","","~"
"JP3","1","rate setting","","Excluded from BOM","","","~"
"L1","1","3.3uH","","","","Inductor_SMD:L_Coilcraft_XxL4040","~"
"Q1","1","MMBT2222A","","","","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/MMBT2222A.pdf"
"Q2,Q3,Q4","3","NX138AKR","","","","SOT95P230X110-3N","https://assets.nexperia.com/documents/data-sheet/NX138AK.pdf"
"R1,R2,R4,R5","4","100","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3,R7,R8,R13","4","10K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R6,R9,R11","3","200K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R10","1","1K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R12","1","470K","","","","Resistor_SMD:R_0402_1005Metric","~"
"T1,T2","2","TouchPad","","","","0my_project:Touch-Pad_10mm",""
"U1","1","XIAO-ESP32-S3-SMD","","","","Seeed Studio XIAO Series Library:XIAO-ESP32C6-SMD",""
"U2","1","HX711","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://web.archive.org/web/20220615044707/https://akizukidenshi.com/download/ds/avia/hx711.pdf"
"U3,U9","2","NE555D","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ne555.pdf"
"U4","1","74HC74","","","","","74xx/74hc_hct74.pdf"
"U5,U6","2","TTP223-BA6","","","","TTP223-BA6:SOT23-6",""
"U7","1","74AHC1G08","","","","","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"U8","1","74AHC1G04","","","","","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
